category_id,modified_date,name,parent_category_id
252ac58d-8eca-41e6-bc69-93f73a957ddf,2002-06-01T00:00:00Z,Touring Bikes,6e4dc593-04b6-4be4-b544-9b5cdf2b9825
9b96fc2e-b1ae-4916-85bb-9694ac3726b0,2002-06-01T00:00:00Z,Headsets,ef673af6-d457-4033-acac-e9663e056533
3c4e52ce-0ea4-40a3-82aa-886fb7ed61c0,2002-06-01T00:00:00Z,Bib-Shorts,8d39f16c-7fc9-4dbb-87cd-f4fa381068cd
c84905fa-ad60-4586-ab92-09f7daadd056,2002-06-01T00:00:00Z,Jerseys,8d39f16c-7fc9-4dbb-87cd-f4fa381068cd
39e85c97-bad9-46a2-9e3a-b61ac8622515,2002-06-01T00:00:00Z,Touring Frames,ef673af6-d457-4033-acac-e9663e056533
4d101d31-2848-4cd5-ab36-3374b9886897,2002-06-01T00:00:00Z,Panniers,35cbbf30-945a-48c3-9a8c-c833e68201ee
8d39f16c-7fc9-4dbb-87cd-f4fa381068cd,2002-06-01T00:00:00Z,Clothing,
6e4dc593-04b6-4be4-b544-9b5cdf2b9825,2002-06-01T00:00:00Z,Bikes,
5ae34752-8d34-4ec1-9b7d-eaedacfbbffa,2002-06-01T00:00:00Z,Cleaners,35cbbf30-945a-48c3-9a8c-c833e68201ee
f62f27e3-edbf-4459-b320-048246b70f0c,2002-06-01T00:00:00Z,Derailleurs,ef673af6-d457-4033-acac-e9663e056533
6c1f5dc6-43b5-41de-8e09-8d0b0b1d4497,2002-06-01T00:00:00Z,Lights,35cbbf30-945a-48c3-9a8c-c833e68201ee
0c91f0d3-4bd0-4f84-94e0-b59f949e6e8e,2002-06-01T00:00:00Z,Socks,8d39f16c-7fc9-4dbb-87cd-f4fa381068cd
d5661d7b-a6fd-4cf8-9b1f-7acda951af20,2002-06-01T00:00:00Z,Shorts,8d39f16c-7fc9-4dbb-87cd-f4fa381068cd
ef673af6-d457-4033-acac-e9663e056533,2002-06-01T00:00:00Z,Components,
1116cf65-12a9-49e5-bf74-edbcafb2ad1d,2002-06-01T00:00:00Z,Mountain Bikes,6e4dc593-04b6-4be4-b544-9b5cdf2b9825
8b9c22e9-c577-4c09-8a6d-ba7ea3640fe1,2002-06-01T00:00:00Z,Mountain Frames,ef673af6-d457-4033-acac-e9663e056533
7e2556cb-b04a-424d-9292-a6162cef2475,2002-06-01T00:00:00Z,Brakes,ef673af6-d457-4033-acac-e9663e056533
c623f69c-f793-4c42-b435-3258c9ba8c33,2002-06-01T00:00:00Z,Wheels,ef673af6-d457-4033-acac-e9663e056533
e18e2a95-1526-4e41-80f7-0e797e2ac95c,2002-06-01T00:00:00Z,Handlebars,ef673af6-d457-4033-acac-e9663e056533
e4eedaa5-2144-4ff0-83d8-d26f0565bec1,2002-06-01T00:00:00Z,Fenders,35cbbf30-945a-48c3-9a8c-c833e68201ee
a0c57cb7-df4c-429b-b9ff-e08e27952077,2002-06-01T00:00:00Z,Locks,35cbbf30-945a-48c3-9a8c-c833e68201ee
926179cd-73c2-4964-86e6-96326a05c578,2002-06-01T00:00:00Z,Bottom Brackets,ef673af6-d457-4033-acac-e9663e056533
37a6fb30-05df-4111-8f85-61648262f1b1,2002-06-01T00:00:00Z,Chains,ef673af6-d457-4033-acac-e9663e056533
33f1d881-3a9c-41e1-8b95-d9a7b1ac6822,2002-06-01T00:00:00Z,Helmets,35cbbf30-945a-48c3-9a8c-c833e68201ee
14571cd7-3a17-462e-aebb-105e29bc86a6,2002-06-01T00:00:00Z,Hydration Packs,35cbbf30-945a-48c3-9a8c-c833e68201ee
f79b665e-d2ed-4fe6-adba-cca0761ea27c,2002-06-01T00:00:00Z,Pumps,35cbbf30-945a-48c3-9a8c-c833e68201ee
35cbbf30-945a-48c3-9a8c-c833e68201ee,2002-06-01T00:00:00Z,Accessories,
3c497617-f094-4215-8bde-947b82499938,2002-06-01T00:00:00Z,Tires and Tubes,35cbbf30-945a-48c3-9a8c-c833e68201ee
bb1ef92b-5f39-4dc2-91da-ff646966f915,2002-06-01T00:00:00Z,Pedals,ef673af6-d457-4033-acac-e9663e056533
cced3dde-5341-4240-92e0-c418d3780a31,2002-06-01T00:00:00Z,Bottles and Cages,35cbbf30-945a-48c3-9a8c-c833e68201ee
7f25705a-ca03-4127-9645-e7507f5ceab6,2002-06-01T00:00:00Z,Bike Stands,35cbbf30-945a-48c3-9a8c-c833e68201ee
c94fd725-f7b3-43ec-b28d-346c364e147e,2002-06-01T00:00:00Z,Saddles,ef673af6-d457-4033-acac-e9663e056533
586bdab0-ccf5-4104-8251-2e231bda2886,2002-06-01T00:00:00Z,Gloves,8d39f16c-7fc9-4dbb-87cd-f4fa381068cd
7bb4bceb-839d-487a-8dd6-afccf15b0568,2002-06-01T00:00:00Z,Road Bikes,6e4dc593-04b6-4be4-b544-9b5cdf2b9825
1132a578-6d84-4b56-885d-900f4ec78f3f,2002-06-01T00:00:00Z,Bike Racks,35cbbf30-945a-48c3-9a8c-c833e68201ee
78b31369-231b-48a6-b93e-9b365c56f38c,2002-06-01T00:00:00Z,Cranksets,ef673af6-d457-4033-acac-e9663e056533
5ba9f3d3-8fc9-4ebb-87e7-df075a764f46,2002-06-01T00:00:00Z,Caps,8d39f16c-7fc9-4dbb-87cd-f4fa381068cd
cbfeafa3-a8c9-44c9-b2a5-6b0566f38237,2002-06-01T00:00:00Z,Tights,8d39f16c-7fc9-4dbb-87cd-f4fa381068cd
fd015572-4805-49bc-af03-cd1df8ba3953,2002-06-01T00:00:00Z,Forks,ef673af6-d457-4033-acac-e9663e056533
