category_name,product_sku,product_name,category_id,product_color,product_id,product_list_price,product_std_cost,product_weight
Road Frames,FR-R38B-44,"LL Road Frame - Black, 44",40837bab-1194-4e85-9928-772acdf2f423,Black,a099b0e4-63b8-475b-bb60-da007cbac342,337.22,204.6251,1052.33
Road Frames,FR-R38B-48,"LL Road Frame - Black, 48",40837bab-1194-4e85-9928-772acdf2f423,Black,303a1a6d-a7d4-400a-8765-3cc1fbca64ca,337.22,204.6251,1070.47
Road Frames,FR-R38B-52,"LL Road Frame - Black, 52",40837bab-1194-4e85-9928-772acdf2f423,Black,661eb709-3cce-45da-9b68-f80873a0778c,337.22,204.6251,1088.62
Road Frames,FR-R38B-58,"LL Road Frame - Black, 58",40837bab-1194-4e85-9928-772acdf2f423,Black,7950c243-e20a-4055-b1f3-8495541fc6ab,337.22,204.6251,1115.83
Road Frames,FR-R38B-60,"LL Road Frame - Black, 60",40837bab-1194-4e85-9928-772acdf2f423,Black,cde5103e-c186-4253-b4a7-cf0e9ddeb6d9,337.22,204.6251,1124.9
Road Frames,FR-R38B-62,"LL Road Frame - Black, 62",40837bab-1194-4e85-9928-772acdf2f423,Black,117bfb32-cb25-479f-bdc9-856b22bade24,337.22,204.6251,1133.98
Road Frames,FR-R38R-44,"LL Road Frame - Red, 44",40837bab-1194-4e85-9928-772acdf2f423,Red,c5a32184-3fa8-4e9b-97cd-1a11c9f507d9,337.22,187.1571,1052.33
Road Frames,FR-R38R-48,"LL Road Frame - Red, 48",40837bab-1194-4e85-9928-772acdf2f423,Red,72ab88b7-16dd-4ebf-af4d-55b9100240d6,337.22,187.1571,1070.47
Road Frames,FR-R38R-52,"LL Road Frame - Red, 52",40837bab-1194-4e85-9928-772acdf2f423,Red,fc38ad4a-8dbd-4b28-8309-54f2f446c9f7,337.22,187.1571,1088.62
Road Frames,FR-R38R-58,"LL Road Frame - Red, 58",40837bab-1194-4e85-9928-772acdf2f423,Red,62359fbe-0339-4b94-92ec-c202ce1494b1,337.22,187.1571,1115.83
Road Frames,FR-R38R-60,"LL Road Frame - Red, 60",40837bab-1194-4e85-9928-772acdf2f423,Red,8b032c92-2299-43b8-afaa-9fac9317a2ef,337.22,187.1571,1124.9
Road Frames,FR-R38R-62,"LL Road Frame - Red, 62",40837bab-1194-4e85-9928-772acdf2f423,Red,3755b033-fc59-4db1-ac06-a31847a24154,337.22,187.1571,1133.98
Road Frames,FR-R72R-44,"ML Road Frame - Red, 44",40837bab-1194-4e85-9928-772acdf2f423,Red,202dfdce-e43d-476c-bdc6-f7ae607ab0e4,594.83,352.1394,1006.97
Road Frames,FR-R72R-48,"ML Road Frame - Red, 48",40837bab-1194-4e85-9928-772acdf2f423,Red,af5cc8b7-73e6-453b-9dd7-5caadaed6e82,594.83,352.1394,1025.11
Road Frames,FR-R72R-52,"ML Road Frame - Red, 52",40837bab-1194-4e85-9928-772acdf2f423,Red,4cc5fcba-a9f8-4956-9133-a6172f0d300c,594.83,352.1394,1043.26
Road Frames,FR-R72R-58,"ML Road Frame - Red, 58",40837bab-1194-4e85-9928-772acdf2f423,Red,85d7c1b0-fc02-468e-92e3-391a1f2411e4,594.83,352.1394,1070.47
Road Frames,FR-R72R-60,"ML Road Frame - Red, 60",40837bab-1194-4e85-9928-772acdf2f423,Red,74dbf546-43fc-429d-a6b8-8cce15cf81c9,594.83,352.1394,1079.54
Road Frames,FR-R72Y-38,"ML Road Frame-W - Yellow, 38",40837bab-1194-4e85-9928-772acdf2f423,Yellow,55a45da0-2886-4d3b-8eb4-b65152b6eb86,594.83,360.9428,988.83
Road Frames,FR-R72Y-40,"ML Road Frame-W - Yellow, 40",40837bab-1194-4e85-9928-772acdf2f423,Yellow,d5852577-4013-4ed9-a585-9fdfe4c97b30,594.83,360.9428,1006.97
Road Frames,FR-R72Y-42,"ML Road Frame-W - Yellow, 42",40837bab-1194-4e85-9928-772acdf2f423,Yellow,2322c586-a65c-44f1-9a95-e9b1ae19d011,594.83,360.9428,1025.11
Road Frames,FR-R72Y-44,"ML Road Frame-W - Yellow, 44",40837bab-1194-4e85-9928-772acdf2f423,Yellow,f6ee1332-8b9f-4a4c-b2a1-c69e1b06ef53,594.83,360.9428,1043.26
Road Frames,FR-R72Y-48,"ML Road Frame-W - Yellow, 48",40837bab-1194-4e85-9928-772acdf2f423,Yellow,5a65d21d-0fff-4f0e-b20e-876d46a3c2db,594.83,360.9428,1061.4
Road Frames,FR-R92B-44,"HL Road Frame - Black, 44",40837bab-1194-4e85-9928-772acdf2f423,Black,3e6c5244-e478-49e0-8e29-8f58158d496d,1431.5,868.6342,961.61
Road Frames,FR-R92B-48,"HL Road Frame - Black, 48",40837bab-1194-4e85-9928-772acdf2f423,Black,7b1c3dd5-f8c3-47cd-840f-32ac7fb16bbf,1431.5,868.6342,979.75
Road Frames,FR-R92B-52,"HL Road Frame - Black, 52",40837bab-1194-4e85-9928-772acdf2f423,Black,4930c52f-b0db-418c-a069-34c69d9d5048,1431.5,868.6342,997.9
Road Frames,FR-R92B-58,"HL Road Frame - Black, 58",40837bab-1194-4e85-9928-772acdf2f423,Black,18821c32-c763-4835-b8e0-d1b7aee0001a,1431.5,1059.31,1016.04
Road Frames,FR-R92B-62,"HL Road Frame - Black, 62",40837bab-1194-4e85-9928-772acdf2f423,Black,9012ad34-8c67-4641-ab37-5d40c3958066,1431.5,868.6342,1043.26
Road Frames,FR-R92R-44,"HL Road Frame - Red, 44",40837bab-1194-4e85-9928-772acdf2f423,Red,b22cbd2b-4bec-4087-9f4a-dff1958c0135,1431.5,868.6342,961.61
Road Frames,FR-R92R-48,"HL Road Frame - Red, 48",40837bab-1194-4e85-9928-772acdf2f423,Red,2e96618f-adbd-44ff-a090-0505418cf347,1431.5,868.6342,979.75
Road Frames,FR-R92R-52,"HL Road Frame - Red, 52",40837bab-1194-4e85-9928-772acdf2f423,Red,439388c5-2a97-4462-bf7c-323e1bbac88f,1431.5,868.6342,997.9
Road Frames,FR-R92R-56,"HL Road Frame - Red, 56",40837bab-1194-4e85-9928-772acdf2f423,Red,b07a400b-93bc-4823-8c05-e0cec9e91f41,1431.5,868.6342,1016.04
Road Frames,FR-R92R-58,"HL Road Frame - Red, 58",40837bab-1194-4e85-9928-772acdf2f423,Red,76d273ae-2ed7-4d12-abd4-e542db1ce877,1431.5,1059.31,1016.04
Road Frames,FR-R92R-62,"HL Road Frame - Red, 62",40837bab-1194-4e85-9928-772acdf2f423,Red,36180561-7058-4e27-b492-f6fc218f3e24,1431.5,868.6342,1043.26
Saddles,SE-M236,LL Mountain Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,c8338520-f3e2-4893-b7fa-f4303be0b3ee,27.12,12.0413,
Saddles,SE-M798,ML Mountain Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,2ce968ea-eb5d-4001-9eb1-b9af486db9ea,39.14,17.3782,
Saddles,SE-M940,HL Mountain Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,586ba799-edf0-4059-a684-5a6993e36de3,52.64,23.3722,
Saddles,SE-R581,LL Road Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,7b997c43-7a27-47d1-a97e-aa4b8e6dcffc,27.12,12.0413,
Saddles,SE-R908,ML Road Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,a95e9189-9fb9-45de-b4c3-632e30233508,39.14,17.3782,
Saddles,SE-R995,HL Road Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,7d742bea-7113-4aa8-9d27-0505162a4479,52.64,23.3722,
Saddles,SE-T312,LL Touring Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,260f2710-8dff-4159-b42a-8c657f6c8d02,27.12,12.0413,
Saddles,SE-T762,ML Touring Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,92997d7f-32b2-4642-975e-50bd135defc1,39.14,17.3782,
Saddles,SE-T924,HL Touring Seat/Saddle,c94fd725-f7b3-43ec-b28d-346c364e147e,,adb3ac88-a198-434c-89e2-639d184388fb,52.64,23.3722,
Bottles and Cages,BC-M005,Mountain Bottle Cage,cced3dde-5341-4240-92e0-c418d3780a31,,62e16103-3832-4a54-be7a-90af4b159bf5,9.99,3.7363,
Bottles and Cages,BC-R205,Road Bottle Cage,cced3dde-5341-4240-92e0-c418d3780a31,,71a6584d-bc40-4773-8273-70ab4da3a595,8.99,3.3623,
Bottles and Cages,WB-H098,Water Bottle - 30 oz.,cced3dde-5341-4240-92e0-c418d3780a31,,aaa13f06-580a-48e2-89e1-08afd8a73a6e,4.99,1.8663,
Bike Stands,ST-1401,All-Purpose Bike Stand,7f25705a-ca03-4127-9645-e7507f5ceab6,,661b71ca-2d02-40d6-992a-e58464a56afc,159,59.466,
Pedals,PD-M282,LL Mountain Pedal,bb1ef92b-5f39-4dc2-91da-ff646966f915,Silver/Black,968c18a8-fb00-4ab0-83b7-95d1beb4fadf,40.49,17.9776,218
Pedals,PD-M340,ML Mountain Pedal,bb1ef92b-5f39-4dc2-91da-ff646966f915,Silver/Black,e28aa3b2-3b2c-4f01-bb3f-b7747419d3b8,62.09,27.568,215
Pedals,PD-M562,HL Mountain Pedal,bb1ef92b-5f39-4dc2-91da-ff646966f915,Silver/Black,d5588a2f-1207-4345-b328-f6fe6a19f177,80.99,35.9596,185
Pedals,PD-R347,LL Road Pedal,bb1ef92b-5f39-4dc2-91da-ff646966f915,Silver/Black,89e71f66-0e8e-4b0d-bdf2-c7c89747a83a,40.49,17.9776,189
Pedals,PD-R563,ML Road Pedal,bb1ef92b-5f39-4dc2-91da-ff646966f915,Silver/Black,358e0d2c-3750-461d-8f56-8a13ac92d3f1,62.09,27.568,168
Pedals,PD-R853,HL Road Pedal,bb1ef92b-5f39-4dc2-91da-ff646966f915,Silver/Black,c5ef7196-ef71-4985-aab7-4b7bab66ce6b,80.99,35.9596,149
Pedals,PD-T852,Touring Pedal,bb1ef92b-5f39-4dc2-91da-ff646966f915,Silver/Black,2b128e84-2c6e-4cd3-a36e-317976b6cf99,80.99,35.9596,
Jerseys,LJ-0192-L,"Long-Sleeve Logo Jersey, L",c84905fa-ad60-4586-ab92-09f7daadd056,Multi,7821bdaf-82ca-4bfc-8a58-587eeb06516a,49.99,38.4923,
Jerseys,LJ-0192-M,"Long-Sleeve Logo Jersey, M",c84905fa-ad60-4586-ab92-09f7daadd056,Multi,f249deb0-2457-47a1-9929-06b5bfc03443,49.99,38.4923,
Jerseys,LJ-0192-S,"Long-Sleeve Logo Jersey, S",c84905fa-ad60-4586-ab92-09f7daadd056,Multi,5c1dc2dc-b808-4667-8800-a4803e9765d5,49.99,38.4923,
Jerseys,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",c84905fa-ad60-4586-ab92-09f7daadd056,Multi,5cfee7e4-613a-469d-80d5-240f411cb45d,49.99,38.4923,
